tconst,titleType,title,year,runtimeMinutes,genres,averageRating,actors,directors,combined_features
tt0276919,movie,Dogville,2003,171.0,"['Crime', 'Drama']",8.0,"['Paul Bettany', 'Jean-Marc Barr', 'James Caan', 'Jeremy Davies', 'Ben Gazzara']",['Lars von Trier'],Dogville Crime Drama Lars von Trier Paul Bettany Jean-Marc Barr James Caan Jeremy Davies Ben Gazzara
tt0276389,movie,Papá Iván,2004,52.0,['Documentary'],8.0,[],['María Inés Roqué'],Papá Iván Documentary María Inés Roqué 
tt0375878,movie,Kaakha Kaakha,2003,153.0,"['Action', 'Crime', 'Drama']",8.0,"['Suriya', ""'University' Jeevan"", 'Daniel Balaji', 'Vivek Anand', 'Sethu Rajan', 'Clive Dev']",['Gautham Vasudev Menon'],Kaakha Kaakha Action Crime Drama Gautham Vasudev Menon Suriya 'University' Jeevan Daniel Balaji Vivek Anand Sethu Rajan Clive Dev
tt0136431,movie,Noel Field - Der erfundene Spion,1996,104.0,['Documentary'],8.0,[],['Werner Schweizer'],Noel Field - Der erfundene Spion Documentary Werner Schweizer 
tt0222012,movie,Hey Ram,2000,186.0,"['Crime', 'Drama', 'History']",8.0,"['Kamal Haasan', 'Shah Rukh Khan', 'Girish Karnad', 'Naseeruddin Shah', 'Om Puri', 'Vikram Gokhale', 'Saurabh Shukla', 'Nassar']",['Kamal Haasan'],Hey Ram Crime Drama History Kamal Haasan Kamal Haasan Shah Rukh Khan Girish Karnad Naseeruddin Shah Om Puri Vikram Gokhale Saurabh Shukla Nassar
tt0093802,movie,Put More Blood Into the Music,1987,120.0,"['Documentary', 'Music']",8.0,"['Glenn Branca', 'John Cale', 'Arto Lindsay', 'Thurston Moore', 'Lee Ranaldo', 'Steve Shelley', 'Wharton Tiers', 'John Zorn']",['George Atlas'],Put More Blood Into the Music Documentary Music George Atlas Glenn Branca John Cale Arto Lindsay Thurston Moore Lee Ranaldo Steve Shelley Wharton Tiers John Zorn
tt0276269,movie,Lament of the Sand River,2000,107.0,['Drama'],8.0,"['Yao-nung Huang', 'Chen-Nan Tsai']",['Chi-Yung Chang'],Lament of the Sand River Drama Chi-Yung Chang Yao-nung Huang Chen-Nan Tsai
tt0136383,movie,Maltese Flamingo,1986,75.0,[],8.0,['Richard Schabl'],['Greg Stump'],Maltese Flamingo  Greg Stump Richard Schabl
tt0410407,movie,Orwell Rolls in His Grave,2003,84.0,['Documentary'],8.0,[],['Robert Kane Pappas'],Orwell Rolls in His Grave Documentary Robert Kane Pappas 
tt0222730,movie,Anybody's Son Will Do,1983,57.0,['Documentary'],8.0,['Gwynne Dyer'],['Paul Cowan'],Anybody's Son Will Do Documentary Paul Cowan Gwynne Dyer
tt0375880,movie,Kaadhal Konden,2003,150.0,"['Drama', 'Romance', 'Thriller']",8.0,"['Dhanush', 'Sudip', 'Daniel Balaji', 'Rambo Raj Kumar', 'Nagesh', 'Srikanth', 'Shyam Madhavan Sarada']",['K. Selvaraghavan'],Kaadhal Konden Drama Romance Thriller K. Selvaraghavan Dhanush Sudip Daniel Balaji Rambo Raj Kumar Nagesh Srikanth Shyam Madhavan Sarada
tt1212437,movie,Print,2008,,"['Drama', 'Thriller']",8.0,"['Will Rothhaar', 'Andrew Matthews', 'Andrew Matthews', 'Derrick Denicola', 'Austin Adams']",['Ashley Christine Beyer'],Print Drama Thriller Ashley Christine Beyer Will Rothhaar Andrew Matthews Andrew Matthews Derrick Denicola Austin Adams
tt0222733,movie,The Apprenticeship of Mordecai Richler,1986,57.0,['Documentary'],8.0,[],['Alan Handel'],The Apprenticeship of Mordecai Richler Documentary Alan Handel 
tt0410890,movie,When Ocean Meets Sky,2003,99.0,['Documentary'],8.0,[],['Crayton Robey'],When Ocean Meets Sky Documentary Crayton Robey 
tt12172488,movie,Rahasia Seorang Ibu,1977,101.0,['Drama'],8.0,"['Arman Effendy', 'Danet Jaya Herlambang', 'Roldiah Matulessy', 'Ahmad Nugraha', 'Maruli Sitompul']",['Wahyu Sihombing'],Rahasia Seorang Ibu Drama Wahyu Sihombing Arman Effendy Danet Jaya Herlambang Roldiah Matulessy Ahmad Nugraha Maruli Sitompul
tt0407925,movie,Ang kilabot at si Miss Pakipot,1998,,['Action'],8.0,"['Rommel Padilla', 'Jorge Estregan', 'Jimmy Concepcion', 'Nick Alladin', 'Rhey Roldan', 'June Hidalgo']",['Dante Pangilinan'],Ang kilabot at si Miss Pakipot Action Dante Pangilinan Rommel Padilla Jorge Estregan Jimmy Concepcion Nick Alladin Rhey Roldan June Hidalgo
tt0816258,movie,Pokiri,2006,164.0,"['Action', 'Crime', 'Thriller']",8.0,"['Mahesh Babu', 'Prakash Raj', 'Nassar', 'Ashish Vidyarthi', 'Sayaji Shinde', 'Brahmanandam', 'Ajay', 'Bharat Kumar']",['Puri Jagannadh'],Pokiri Action Crime Thriller Puri Jagannadh Mahesh Babu Prakash Raj Nassar Ashish Vidyarthi Sayaji Shinde Brahmanandam Ajay Bharat Kumar
tt0278736,movie,Stanley Kubrick: A Life in Pictures,2001,142.0,"['Biography', 'Documentary']",8.0,[],['Jan Harlan'],Stanley Kubrick: A Life in Pictures Biography Documentary Jan Harlan 
tt1086709,movie,Memória do Movimento Estudantil,2007,103.0,['Documentary'],8.0,"['Chico Díaz', 'Cássio Gabus Mendes', 'Amir Haddad', 'Thiago Mocoto', 'B. Negao']",['Silvio Tendler'],Memória do Movimento Estudantil Documentary Silvio Tendler Chico Díaz Cássio Gabus Mendes Amir Haddad Thiago Mocoto B. Negao
tt12205876,movie,Awra,2015,72.0,"['Drama', 'Thriller']",8.0,"['J.V. Castro', 'J.D. Uy', 'Brian Xander', 'Francis Cariaso']",['G.A. Villafuerte'],Awra Drama Thriller G.A. Villafuerte J.V. Castro J.D. Uy Brian Xander Francis Cariaso
tt1086770,movie,After the Storm,2009,,['Documentary'],8.0,"['Eric T. Calhoun Jr.', 'Griffin Collins III', 'Deshawn Dabney', 'Joel C. Dyson', 'Grant Hunter', 'Taylor Marrs']",['Hilla Medalia'],After the Storm Documentary Hilla Medalia Eric T. Calhoun Jr. Griffin Collins III Deshawn Dabney Joel C. Dyson Grant Hunter Taylor Marrs
tt0100158,movie,Misplaced,1989,98.0,['Drama'],8.0,"['John Cameron Mitchell', 'Tico Wells', 'Scott Tiler', 'Edouard DeSoto', 'Thor Fields', 'Henry Holden', 'John Christopher Jones']",['Louis Yansen'],Misplaced Drama Louis Yansen John Cameron Mitchell Tico Wells Scott Tiler Edouard DeSoto Thor Fields Henry Holden John Christopher Jones
tt1086857,movie,I'm Calling Frank,2007,90.0,['Drama'],8.0,"['Isaac Bar-Jonah', 'Donato Giovanni Caputo', 'Fatlip', 'Peter Greene', 'Mark Mahoney', 'PG Neil', 'Lee Ving']",['PG Neil'],I'm Calling Frank Drama PG Neil Isaac Bar-Jonah Donato Giovanni Caputo Fatlip Peter Greene Mark Mahoney PG Neil Lee Ving
tt1219834,movie,Rough Winds,2009,100.0,['Drama'],8.0,"['John Iovino', 'Albert Campillo', 'Owen Miller', 'Michael Jacques', 'Paul Landa']",['Andrea Olabarría'],Rough Winds Drama Andrea Olabarría John Iovino Albert Campillo Owen Miller Michael Jacques Paul Landa
